object_path,format,bytes,rows,columns,column_names,missing_cells,total_cells,missing_rate,status,note
data/processed/open_tables/aiid/Coverage_Map.parquet,parquet,3489,6,4,Data Sources;Incidents;% of Total;What you can analyze,2,24,0.0833333333,verified,Metadata and all row-group footers readable.
data/processed/open_tables/aiid/Data_Dictionary.parquet,parquet,4860,59,5,Column;Group;Source;Fill Rate;Description,0,295,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/open_tables/aiid/Entities.parquet,parquet,169175,7138,2,Entity ID;Name,0,14276,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/open_tables/aiid/Incidents.parquet,parquet,641642,1654,59,Incident ID;date;year;title;description;deployer;developer;harmed;Editors;Implicated Systems;Date Modified;Editor Notes;Data Sources;report_count;Risk Domain;Risk Subdomain;Responsible Entity;Intent;Timing;AI Goal;AI Technology;AI Technology (Potential);Technical Failure;Technical Failure (Potential);Harm Domain;Tangible Harm;AI Harm Level;Rights Violation;Harm Distribution Basis;Lives Lost;Injuries;Sector of Deployment;Public Sector Deployment;Infrastructure Sectors;Location Region;Country Code;Location City;Incident Year;Incident Month;Incident Day;Intentional Harm;Autonomy Level;AI Task;AI Methods;AI System Description;Data Inputs;Involving Minor;Protected Characteristic;AI System;Detrimental Content;Impact on Critical Services;Multiple AI Interaction;Embedded;Entities;Physical Objects;Deployed;Estimated Date;Estimated Harm Quantities;Special Interest Intangible Harm,62832,97586,0.6438628492,verified,Metadata and all row-group footers readable.
data/processed/open_tables/aiid/Reports.parquet,parquet,880418,7680,12,Report Number;Title;URL;Source Domain;Date Published;Date Downloaded;Authors;Submitters;Language;Tags;Description;Is Incident Report,14984,92160,0.1625868056,verified,Metadata and all row-group footers readable.
data/processed/open_tables/cas_schedule_p/comauto_pos.parquet,parquet,101425,15800,13,GRCODE;GRNAME;AccidentYear;DevelopmentYear;DevelopmentLag;IncurLoss_C;CumPaidLoss_C;BulkLoss_C;EarnedPremDIR_C;EarnedPremCeded_C;EarnedPremNet_C;Single;PostedReserve97_C,0,205400,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/open_tables/cas_schedule_p/medmal_pos.parquet,parquet,31288,3400,13,GRCODE;GRNAME;AccidentYear;DevelopmentYear;DevelopmentLag;IncurLoss_F2;CumPaidLoss_F2;BulkLoss_F2;EarnedPremDIR_F2;EarnedPremCeded_F2;EarnedPremNet_F2;Single;PostedReserve97_F2,0,44200,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/open_tables/cas_schedule_p/othliab_pos.parquet,parquet,121292,23900,13,GRCODE;GRNAME;AccidentYear;DevelopmentYear;DevelopmentLag;IncurLoss_h1;CumPaidLoss_h1;BulkLoss_h1;EarnedPremDIR_h1;EarnedPremCeded_h1;EarnedPremNet_h1;Single;PostedReserve97_h1,0,310700,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/open_tables/cas_schedule_p/ppauto_pos.parquet,parquet,117109,14600,13,GRCODE;GRNAME;AccidentYear;DevelopmentYear;DevelopmentLag;IncurLoss_B;CumPaidLoss_B;BulkLoss_B;EarnedPremDIR_B;EarnedPremCeded_B;EarnedPremNet_B;Single;PostedReserve97_B,0,189800,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/open_tables/cas_schedule_p/prodliab_pos.parquet,parquet,38620,7000,13,GRCODE;GRNAME;AccidentYear;DevelopmentYear;DevelopmentLag;IncurLoss_R1;CumPaidLoss_R1;BulkLoss_R1;EarnedPremDIR_R1;EarnedPremCeded_R1;EarnedPremNet_R1;Single;PostedReserve97_R1,0,91000,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/open_tables/cas_schedule_p/wkcomp_pos.parquet,parquet,100005,13200,13,GRCODE;GRNAME;AccidentYear;DevelopmentYear;DevelopmentLag;IncurLoss_D;CumPaidLoss_D;BulkLoss_D;EarnedPremDIR_D;EarnedPremCeded_D;EarnedPremNet_D;Single;PostedReserve97_D,0,171600,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/open_tables/incidents/butterflylabs_ai-incidents.parquet,parquet,3790655,6865,21,id;title;summary;dateOccurred;datePublished;dateIngested;sourceUrl;sourceName;category;severity;developers;deployers;harmedParties;location;sector;tags;imageUrl;categoryConfidence;severityConfidence;classifierModel;classifierReason,41174,144165,0.2856033018,verified,Metadata and all row-group footers readable.
data/processed/open_tables/solvency2_eiopa/EIOPA_SA_Balance_Sheet.parquet,parquet,212062,25415,8,"Reporting country;Reference period;Undertaking type;Value;Item name;Item code;Number of submissions (per reporting country, reference date and undertaking type);Date of extraction (yyyymmdd)",1535,203320,0.0075496754,verified,Metadata and all row-group footers readable.
data/processed/open_tables/solvency2_eiopa/EIOPA_SA_Own_Funds.parquet,parquet,58259,5562,8,"Reporting country;Reference period;Item code;Item name;Value;Undertaking type;Date of extraction (yyyymmdd);Number of submissions (per reporting country, reference date and undertaking type)",0,44496,0.0000000000,verified,Metadata and all row-group footers readable.
data/processed/open_tables/solvency2_eiopa/EIOPA_SA_Premiums_Claims_Expenses.parquet,parquet,189518,27528,8,"Reporting country;Reference period;Item;Business type;Item code;Value;Date of extraction (yyyymmdd);Number of submissions (per reporting country, reference date and undertaking type)",5930,220224,0.0269271287,verified,Metadata and all row-group footers readable.
data/processed/open_tables/solvency2_eiopa/EIOPA_SQ_Balance_Sheet.parquet,parquet,1567623,224825,8,"Reporting country;Reference period;Undertaking type;Value;Item name;Item code;Number of submissions (per reporting country, reference date and undertaking type);Date of extraction (yyyymmdd)",16097,1798600,0.0089497387,verified,Metadata and all row-group footers readable.
data/processed/open_tables/solvency2_eiopa/EIOPA_SQ_Own_Funds.parquet,parquet,573697,66872,8,"Reporting country;Reference period;Item code;Item name;Value;Undertaking type;Date of extraction (yyyymmdd);Number of submissions (per reporting country, reference date and undertaking type)",2730,534976,0.0051030327,verified,Metadata and all row-group footers readable.
data/processed/r_native_fallback/brvehins2a__brvehins2a.parquet,parquet,9249909,666938,18,VehYear;VehModel;VehGroup;City;CityCode;Area;State;StateAb;ExposTotal;PremTotal;ClaimNbRob;ClaimNbColl;ClaimNbFire;ClaimNbOther;ClaimAmountRob;ClaimAmountColl;ClaimAmountFire;ClaimAmountOther,319615,12004884,0.0266237475,verified,Metadata and all row-group footers readable.
data/processed/r_native_fallback/brvehins2b__brvehins2b.parquet,parquet,11036272,666938,18,VehYear;VehModel;VehGroup;City;CityCode;Area;State;StateAb;ExposTotal;PremTotal;ClaimNbRob;ClaimNbColl;ClaimNbFire;ClaimNbOther;ClaimAmountRob;ClaimAmountColl;ClaimAmountFire;ClaimAmountOther,247429,12004884,0.0206106948,verified,Metadata and all row-group footers readable.
data/processed/r_native_fallback/brvehins2c__brvehins2c.parquet,parquet,9307119,666938,18,VehYear;VehModel;VehGroup;City;CityCode;Area;State;StateAb;ExposTotal;PremTotal;ClaimNbRob;ClaimNbColl;ClaimNbFire;ClaimNbOther;ClaimAmountRob;ClaimAmountColl;ClaimAmountFire;ClaimAmountOther,320131,12004884,0.0266667300,verified,Metadata and all row-group footers readable.
