dataset,path,records,fields,bytes,status,research_role,limitation
MAST full trace corpus,data/raw/huggingface/mcemri_MAST-Data/MAD_full_dataset.json,1642,benchmark_name;llm_name;mas_name;mast_annotation;trace;trace_id,199574367,verified,Failure-taxonomy transfer and trace-pattern evidence.,Cross-domain benchmark traces; not actuarial and not an occurrence-rate sample.
MAST human-labelled subset,data/raw/huggingface/mcemri_MAST-Data/MAD_human_labelled_dataset.json,19,annotations;benchmark_name;mas_name;round;trace;trace_id,2662908,verified,Human-labelled failure modes and annotation validation.,Failure-enriched sample; cannot estimate real-world incidence.
Who&When algorithm-generated,data/raw/huggingface/Kevin355_Who_and_When/Algorithm-Generated.parquet,126,is_correct;question;question_ID;ground_truth;content;name;role;mistake_agent;mistake_step;mistake_reason,625066,verified,Stage/agent/turn failure attribution.,Contains failures only; no success denominator.
Who&When hand-crafted,data/raw/huggingface/Kevin355_Who_and_When/Hand-Crafted.parquet,58,content;role;question;groundtruth;is_corrected;mistake_agent;mistake_step;mistake_reason;question_ID;mistake_type,1269999,verified,Stage/agent/turn failure attribution.,Hand-crafted and failure-only; no incidence denominator.
Prompt injections train,data/raw/huggingface/deepset_prompt-injections/data/train-00000-of-00001-9564e8b05b4757ab.parquet,546,text;label,40323,verified,F7 payload screening corpus.,
Prompt injections test,data/raw/huggingface/deepset_prompt-injections/data/test-00000-of-00001-701d16158af87368.parquet,116,text;label,10892,verified,F7 payload held-out corpus.,
Jailbreak classification full,data/raw/huggingface/jackhhao_jailbreak-classification/default/jailbreak_dataset_full.csv,1998,prompt;type,2143822,verified,F7 adversarial prompt corpus.,
AI incident mirror,data/raw/huggingface/butterflylabs_ai-incidents/incidents.csv,6865,id;title;summary;dateOccurred;datePublished;dateIngested;sourceUrl;sourceName;category;severity;developers;deployers;harmedParties;location;sector;tags;imageUrl;categoryConfidence;severityConfidence;classifierModel;classifierReason,10770704,verified,Incident taxonomy triangulation.,Incident reports have selection/reporting bias and weak loss severity fields.
AgentHarm harmful public test,data/raw/huggingface/ai-safety-institute_AgentHarm/benchmark/harmful_behaviors_test_public.json,176,category;detailed_prompt;grading_function;hint_included;id;id_original;name;prompt;target_functions,134140,verified,Tool-use harm and benign-control tasks.,"Safety benchmark, not actuarial workflow data."
AgentHarm benign public test,data/raw/huggingface/ai-safety-institute_AgentHarm/benchmark/benign_behaviors_test_public.json,176,category;detailed_prompt;grading_function;hint_included;id;id_original;name;prompt;target_functions,138721,verified,Tool-use harm and benign-control tasks.,"Safety benchmark, not actuarial workflow data."
MAST repository trace JSON,data/raw/github/05_agentic_failures/MAST/traces,7500,files matching *.json,1355342317,verified,Raw trajectory corpus and human-labelled traces.,Includes configuration/task JSON as well as trajectories.
tau2 benchmark final results,data/raw/github/05_agentic_failures/tau2-bench/data/tau2/results/final,26,files matching *.json,615960191,verified,Open success/failure denominators for tool-calling priors.,Benchmark domains and models differ from actuarial production systems.
AgentDojo run artifacts,data/raw/github/06_prompt_injection/agentdojo/runs,36679,files matching *.json,432154988,verified,Defended versus undefended prompt-injection success priors.,
